,title,price,rating,num_ratings,url
0,"Web Scraping, Data Extraction, Data Scraping and Web Automation service",100.0,4.9,342,https://www.upwork.com/services/product/development-it-web-scraping-data-extraction-data-scraping-and-web-automation-service-1314858087162126336
1,"Accurate data entry, manual typing, convert PDF to Word and Excel",20.0,4.9,700,https://www.upwork.com/services/product/admin-customer-support-accurate-data-entry-manual-typing-convert-pdf-to-word-and-excel-1368910314064990208
2,"Data entry, web research, typing, copy paste, web scraping or data mining",20.0,4.8,1189,https://www.upwork.com/services/product/admin-customer-support-data-entry-web-research-typing-copy-paste-web-scraping-or-data-mining-1314551543300698112
3,"Python Data Mining/Web Scraping data mining, and data extraction.",50.0,5.0,121,https://www.upwork.com/services/product/development-it-python-data-mining-web-scraping-data-mining-and-data-extraction-1492101109592571904
4,"25 pages of typing, PDF conversion, copy paste, Data entry within 12 hours.",18.0,4.9,994,https://www.upwork.com/services/product/admin-customer-support-25-pages-of-typing-pdf-conversion-copy-paste-data-entry-within-12-hours-1329616885942292480
5,Clean and well-structured data extracted from any web source,75.0,5.0,267,https://www.upwork.com/services/product/development-it-clean-and-well-structured-data-extracted-from-any-web-source-1539623149095362560
6,"Lead Generation, Contact List Building, Data Mining, Prospect List",50.0,4.9,1308,https://www.upwork.com/services/product/marketing-lead-generation-contact-list-building-data-mining-prospect-list-1321786404019933184
7,A Data Mining/Web Scraping code to scrape data from websites/apis,75.0,4.9,175,https://www.upwork.com/services/product/development-it-a-data-mining-web-scraping-code-to-scrape-data-from-websites-apis-1355460642361344000
8,Medical or Scientific Data Labeling and Annotation,60.0,4.7,281,https://www.upwork.com/services/product/development-it-medical-or-scientific-data-labeling-and-annotation-1474084640783597568
9,A data scraping task within 24-48hrs,50.0,4.8,449,https://www.upwork.com/services/product/development-it-a-data-scraping-task-within-24-48hrs-1585271712814411776
10,A Think-cell charts slides - Data Visualization - Big 4 PowerPoint,120.0,4.9,2871,https://www.upwork.com/services/product/a-think-cell-charts-slides-data-visualization-big-4-powerpoint-1539947976972021760
11,Professional Data Capturing Form In Excel VBA,50.0,4.9,239,https://www.upwork.com/services/product/development-it-professional-data-capturing-form-in-excel-vba-1473124129519919104
12,Top-notch Google Data Studio Dashboard,70.0,5.0,141,https://www.upwork.com/services/product/top-notch-google-data-studio-dashboard-1482710007074660352
13,"Professional excel data entry, cleaning and formatting service",50.0,5.0,204,https://www.upwork.com/services/product/development-it-professional-excel-data-entry-cleaning-and-formatting-service-1356272717312749568
14,Professional & Quick Data Entry Services with 100% Accuracy,12.0,4.9,1185,https://www.upwork.com/services/product/admin-customer-support-professional-quick-data-entry-services-with-100-accuracy-1410477441166303232
15,Structured data from any various source,50.0,4.5,143,https://www.upwork.com/services/product/development-it-structured-data-from-any-various-source-1352154293627944960
16,"Data Mining, Data Extraction, Data Scraping & Web Scraping Expert",50.0,4.9,94,https://www.upwork.com/services/product/development-it-data-mining-data-extraction-data-scraping-web-scraping-expert-1395755669139992576
17,Data science consultation in a video call,49.0,5.0,132,https://www.upwork.com/services/product/data-science-consultation-in-a-video-call-1370628913417506816
18,"Professional manual typing, data entry, data cleaning & formatting service",50.0,4.7,165,https://www.upwork.com/services/product/professional-manual-typing-data-entry-data-cleaning-formatting-service-1468726123634683904
19,Data Collecting or Data Extraction or Automation Bot or Tools,50.0,5.0,117,https://www.upwork.com/services/product/development-it-data-scraping-or-data-extraction-or-automation-bot-or-data-mining-tools-1349766296465190912
20,"Data scraping, web scraping, data extraction and data mining",50.0,5.0,79,https://www.upwork.com/services/product/development-it-data-scraping-web-scraping-data-extraction-and-data-mining-1330753405936447488
21,Data mining and Web scraping,100.0,5.0,133,https://www.upwork.com/services/product/data-mining-and-web-scraping-1314525787613765632
22,A fantastic data Estate Modernization with Interactive Analytical reports,100.0,4.8,238,https://www.upwork.com/services/product/a-fantastic-data-estate-modernization-with-interactive-analytical-reports-1404865188742320128
23,"Data Analysis, Dashboard, Graphical Visualization in Excel and Google Sheet",75.0,5.0,110,https://www.upwork.com/services/product/development-it-data-analysis-dashboard-graphical-visualization-in-excel-and-google-sheet-1378322177381031936
24,"Data Entry, Data Mining, Data Collection & web research",12.0,4.9,237,https://www.upwork.com/services/product/admin-customer-support-data-entry-data-mining-data-collection-web-research-1356853355770212352
25,"Data Visualization, Dashboard, Graphs, Charts, Pivot Table, Data Analysis",49.0,4.9,96,https://www.upwork.com/services/product/development-it-data-visualization-dashboard-graphs-charts-pivot-table-data-analysis-1432645703262507008
26,A professional data cleansing,100.0,4.7,140,https://www.upwork.com/services/product/a-professional-data-cleansing-1425552045550518272
27,Help regarding Machine learning and Data Engineering using python.,100.0,4.9,150,https://www.upwork.com/services/product/help-regarding-machine-learning-and-data-engineering-using-python-1314966628733665280
28,A data scientist solving your problem using your data,100.0,4.7,25,https://www.upwork.com/services/product/a-data-scientist-solving-your-problem-using-your-data-1403240766152179712
29,"Excel data entry, cleaning and formatting service",10.0,4.9,875,https://www.upwork.com/services/product/admin-customer-support-excel-data-entry-cleaning-and-formatting-service-1515122977887780864
30,Web Scraping | Web Scrape | Data Extraction | Web Scraper |Crawling Service,50.0,4.8,167,https://www.upwork.com/services/product/web-scraping-data-of-any-websie-1428541004867706880
31,A data scraping from website in Excel or CSV,70.0,5.0,196,https://www.upwork.com/services/product/development-it-a-data-scraping-from-website-in-excel-or-csv-1579358575066714112
32,"Data Entry, Data Mining, Copy Pate, Web scraping & Web research",12.0,5.0,448,https://www.upwork.com/services/product/admin-customer-support-data-entry-data-mining-data-collection-web-research-1575027195093098496
33,"Web Data Scraping, Mining and Compilation",100.0,4.9,116,https://www.upwork.com/services/product/web-data-scraping-mining-and-compilation-1527055704330072064
34,A solution of data science project with machine learning,100.0,4.9,80,https://www.upwork.com/services/product/a-solution-of-data-science-project-with-machine-learning-1382384397523169280
35,Report to tell you if you have right data to measure business performance,100.0,4.9,239,https://www.upwork.com/services/product/report-to-tell-you-if-you-have-right-data-to-measure-business-performance-1369669711428308992
36,Assistant in SPSS Data Analysis and Interpretation,60.0,4.8,80,https://www.upwork.com/services/product/assistant-in-spss-data-analysis-and-interpretation-1457617090031181824
37,"Web Scraping, Data Scraping, Data Mining, Data Extraction, Web Automation",60.0,5.0,56,https://www.upwork.com/services/product/web-scraping-data-scraping-data-mining-data-extraction-web-automation-1514538421197357056
38,"Scraping site. (Provided data file, no script)",50.0,5.0,98,https://www.upwork.com/services/product/scraping-sites-shops-of-any-complexity-1314904729106063360
39,Data entry tasks service,20.0,4.3,765,https://www.upwork.com/services/product/admin-customer-support-data-entry-tasks-service-1428340912075689984
